"link","спасылка"
"An error has occurred. Please, try again later","Адбылася памылка. Паспрабуйце пазней."
"Action.FlightSheetRemoved","Палётны аркуш паспяхова выдалены"
"Action.FlightSheetCreated","Палётны аркуш паспяхова створаны"
"Command sent","Каманда дасланая"
"Action.TransferFarm","Запыт на змену ўладальніка быў дасланы"
"Settings updated","Налады абноўлены"
"Tag added","тэг даданы"
"Tag edited","тэг адрэдагаваны"
"Tag removed","тэг выдалены"
"Wallet added","Гаманец даданы"
"Wallet edited","Гаманец адрэдагаваны"
"Wallet removed","Гаманец выдалены"
"Collaborator added","Давераны карыстальнік даданы"
"Collaborator removed","Давераны карыстальнік выдалены"
"Collaborator edited","Давераны карыстальнік адрэдагаваны"
"Action.LeftFarm","Вы пакінулі ферму"
"Action.UpdateFs","Палётнае заданне паспяхова абноўлена. Для воркераў, якія зараз па-за сеткай, для ўжывання зменаў патрэбен перазапуск."
"Action.AddOC","Профіль разгону паспяхова створаны"
"Action.RefillFarm","Баланс фермы папоўнены"
"Action.ErrorServerRequest","Адбылася памылка. Паспрабуйце пазней, калі ласка."
"Error","Памылка"
"Action.SendPromocode","Падпіска паспяхова аформлена"
"Action.PatchToken","Токен паспяхова абноўлены"
"Action.AddToken","Токен паспяхова створаны"
"Action.DeleteToken","Токен паспяхова выдалены"
"Promocode successfully sended","Промакод паспяхова адпраўлены"
"Action.UpdatePayoutAddresses","Адрас паспяхова зменены"
"Action.PayoutToAccount","Ваш баланс паспяхова папоўнены"
"Action.SetPassword","Пароль паспяхова абноўлены"
"2FA enabled","2FA актыўна"
"2FA removed","2FA неактыўна"
"NVIDIA","nVIDIA"
"Apply","Ужыць"
"Confirm","Пацвердзіць"
"TelegramSubscribe","Увядзіце ID Telegram каб падпісацца"
"Enter code to confirm","Увядзіце код для пацверджання"
"Subscribe","Падпісацца"
"Remove","Выдаліць"
"Are you shure?","Вы ўпэўнены?"
"Edit","Рэдагаваць"
"temp","тэмп-ра"
"Farms","Фермы"
"workers","воркеры"
"ethash","ethash"
"Off","Выкл."
"30 seconds","30 секунд"
"1 minute","1 хвіліна"
"2 minutes","2 хвіліны"
"5 minutes","5 хвілін"
"AutoRefresh","Таймер аўта-абнаўлення старонкі"
"All","Усе"
"Cancel","Адмена"
"Download VBIOS","Спампаваць VBIOS"
"GPU index","GPU-індэкс"
"NotGPUDifferent","Заўвага: GPU-індэкс можа адрознівацца ад парадку размеркавання на PCI шыне"
"Download","Спампаваць"
"Apply Changes","Ужыць змены"
"WalletWorkTemplate","Гаманец ды воркер шаблону"
"Pass:","Пароль"
"Extra config arguments:","Дадатковыя парамэтры канфігурацыі"
"Pool URL:","Адрас пулу:"
"Miner Fork:","Форк майнэра:"
"Hash algorithm:","Хэш алгарытму:"
"Extra params for pool:","Дадатковыя параметры пулу:"
"Extra arguments for miner:","Дадатковыя аргумэнты для майнэру:"
"Version:","Вэрсія:"
"Template examples:","Прыклады шаблонаў:"
"for most of the pools","для большасці пулаў"
"Intensity, -dcri 0...100","Інтэнсіўнасць, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","epools.txt шаблон:"
"dpools.txt template:","dpools.txt шаблон:"
"Claymore config override:","Claymore пераазначэнне канфігурацыі:"
