"link","link"
"An error has occurred. Please, try again later","An error has occurred. Please, try again later"
"Action.FlightSheetRemoved","Flight Sheet successfully removed"
"Action.FlightSheetCreated","Flight Sheet successfully created"
"Command sent","Command sent"
"Action.TransferFarm","Request for owner change has been sent"
"Settings updated","Settings updated"
"Tag added","Tag added"
"Tag edited","Tag edited"
"Tag removed","Tag removed"
"Wallet added","Wallet added"
"Wallet edited","Wallet edited"
"Wallet removed","Wallet removed"
"Collaborator added","Collaborator added"
"Collaborator removed","Collaborator removed"
"Collaborator edited","Collaborator edited"
"Action.LeftFarm","You have left the farm"
"Action.UpdateFs","Flight Sheet successfully updated. Reboot offline workers to see the changes"
"Action.AddOC","Overclocking Template successfully created"
"Action.RefillFarm","Farm ballance refilled"
"Action.ErrorServerRequest","An error has occurred. Please, try again later"
"Error","Error"
"Action.SendPromocode","You successfully subscribed"
"Action.PatchToken","Token successfully updated"
"Action.AddToken","Token successfully created"
"Action.DeleteToken","Token successfully revoked"
"Promocode successfully sended","Promocode successfully sent"
"Action.UpdatePayoutAddresses","Address successfully changed"
"Action.PayoutToAccount","Your account balance successfully refilled"
"Action.SetPassword","Password successfully updated"
"2FA enabled","2FA enabled"
"2FA removed","2FA removed"
"NVIDIA","NVIDIA"
"Apply","Apply"
"Confirm","Confirm"
"TelegramSubscribe","Enter telegram id to subscribe"
"Enter code to confirm","Enter code to confirm"
"Subscribe","Subscribe"
"Remove","Remove"
"Are you shure?","Are you sure?"
"Edit","Edit"
"temp","temp"
"Farms","Farms"
"workers","workers"
"ethash","ethash"
"CriticalIssues",""
"Off","Off"
"30 seconds","30 seconds"
"1 minute","1 minute"
"2 minutes","2 minutes"
"5 minutes","5 minutes"
"AutoRefresh","Auto Refresh Page Timer"
"All","All"
"Cancel","Cancel"
"Download VBIOS","Download VBIOS"
"GPU index","GPU index"
"NotGPUDifferent","Note: GPU index order in miner may differ from PCI bus order."
"Download","Download"
"Apply Changes","Apply Changes"
"WalletWorkTemplate","Wallet and worker template:"
"Pass:","Pass:"
"Extra config arguments:","Extra config arguments:"
"Pool URL:","Pool URL:"
"Miner Fork:","Miner Fork:"
"Hash algorithm:","Hash algorithm:"
"Extra params for pool:","Extra params for pool:"
"Extra arguments for miner:","Extra arguments for miner:"
"Version:","Version:"
"Template examples:","Template examples:"
"for most of the pools","for most of the pools"
"Intensity, -dcri 0...100","Intensity, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","epools.txt template:"
"dpools.txt template:","dpools.txt template:"
"Claymore config override:","Claymore config override:"
"Example for nanopool:","Example for nanopool:"
"Example for nicehash:","Example for nicehash:"
"Second coin algo","Second coin algo"
"Config override:","Config override:"
"Pool server:","Pool server:"
"Port:","Port:"
"index","index"
"AMD config override:","AMD config override:"
"Nvidia config override:","Nvidia config override:"
"CPU config override:","CPU config override:"
"Errors","Errors"
"last 24 hours","last 24 hours"
"Workers with errors","Workers with errors"
"No errors found","No errors found"
"Show","Show"
"Overclocking","Overclocking"
"Coins","Coins"
"Pools","Pools"
"Miners","Miners"
"Select pools","Select pools"
"Select miners","Select miners"
"Select coin","Select coin"
"Select overclocking","Select overclocking"
"by","by"
"View payload","View payload"
"Add Wallet","Add Wallet"
"Red Temperature","Max Temperature"
"Trust user","Trust user"
"Add Worker","Add Worker"
"FarmNavCleanWorkers","Remove all messages from workers"
"Save","Save"
"FarmTempHeader.ASICCriticalTemperature","ASIC Critical Temperature"
"Ask a question","Ask a question"
"Report an issue","Report an issue"
"Tags","Tags"
"Wallets","Wallets"
"Platform","Platform"
"Run","Run"
"Wallet","Wallet"
"Coin","Coin"
"Pool","Pool"
"Miner","Miner"
"Select pool","Select pool"
"Select miner","Select miner"
"Select wallet","Select wallet"
"Configure Pool","Configure pool"
"Setup Miner Config","Setup Miner Config"
"Dual Coin","Dual Coin"
"Dual Wallet","Dual Wallet"
"Dual Pool","Dual Pool"
"Configure in miner","Configure in miner"
"Update","Update"
"Add New Flight Sheet","Add New Flight Sheet"
"Reset","Reset"
"Create Flight Sheet","Create Flight Sheet"
"Add Miner","Add Miner"
"Email","Email"
"worker","worker"
"selected","selected"
"FlightSheetsRocket.Message","Do you want to apply current Flight Sheet for"
"Choose Flight Sheet for","Choose Flight Sheet for"
"Your Company","Your Company"
"Home","Home"
"Admin","Admin"
"Privacy","Privacy"
"Not Found","Not Found"
"off","off"
"No","No"
"min","min"
"Remote","Remote IP"
"Consumption","Consumption"
"AES","AES"
"Cores","Cores"
"Motherboard","Motherboard"
"Free space","Free space"
"Free RAM","Free RAM"
"OS version","OS version"
"Drivers","Drivers"
"Yes","Yes"
"System type","System type"
"Kernel","Kernel"
"Local IP","Local IP"
"Load Average","Load Average"
"rigs","workers"
"Jump to farms, workers...","Jump to farms, workers..."
"Notifications","Notifications"
"unread","unread"
"Show all","Show all"
"No notifications yet","No notifications yet"
"View geo location","View geo location"
"from","from"
"Accept","Accept"
"Decline","Decline"
"Term expires in","Term expires in"
"Enter value","Enter value"
"Generate","Generate"
"Enter start date","Enter start date"
"Start date","Start date"
"End date","End date"
"Enter end date","Enter end date"
"Name","Name"
"Create","Create"
"Russian","Russian"
"Chinese","Chinese"
"English","English"
"NoActiveFound","No activities found"
"all activities","all activities"
"Latest Activity","Latest Activity"
"Load","Load"
"warning","config syntax changed in dstm 0.6.0 "
"Previous","Previous"
"Next","Next"
"configuration","configuration"
"MiningInfo","Running Flight Sheet"
"Account","Account"
"Sign Out","Sign Out"
"Billing","Billing"
"Support","Support"
"Community","Community"
"Forum","Forum"
"Referrals","Referrals"
"NoRightsMessage","Sorry, you do not have sufficient rights to view this page"
"to","to"
"Login","Login"
"access","access"
"Notification.EventChanged","Notifications switched"
"Notification.AccessChanged","Access changed for"
"Notification.WhitelistChanged","Whitelist changed"
"Account.NotificationDescription6","You can add this bot to a chat group for multiple admins to monitor workers. Create a group and add 'hiveosbot' as a member there. The chat code is negative for groups. For example, '-12345'."
"Account.NotificationDescription1","Start a new chat with this bot."
"Account.NotificationDescription2","The bot will reply with your CODE which you should enter in the field on the right. For example, '12345'."
"Account.NotificationDescription3","Your login is"
"Account.NotificationDescription4","Send a command to bot"
"Account.NotificationDescription5","and you will be subscribed to receive notifications."
"Update Settings","Update Settings"
"Fan","Fan"
"Core Clock","Core Clock"
"Memory Clock","Memory Clock"
"Power Limit","Power Limit"
"(0 for auto)","(0 for auto)"
"(0 for stock value)","(0 for default value)"
"NvidiaCardFrom.SpecifyDevice","Specify which device should be fed our senior solution, --revA"
"NvidiaCardFrom.MemClock","Usually this value is double from what you see in AfterBurner. E.g. if in Windows it's +800Mhz, here it should be 1600."
"NvidiaCardFrom.OffLED","Turn Off LEDs (may not work on some cards)"
"OhGodAnETHlargementPill","OhGodAnETHlargementPill (only for GTX 1080 series)"
"ValueCardSeparatedSpace.","You can specify one value for all cards or different values for each card separated by space."
"one value for all GPUs.","one value for all GPUs."
"means GPU0 = none, GPU1 = 100, etc.","means GPU0 = none, GPU1 = 100, etc."
"Configure","Configure"
"Overclocking Settings","Overclocking Settings"
"OverclockingProfileModal.Text","Choose Overclocking Template for"
"ApplyOverclockProfile","Do you want to apply current Overclocking Template for"
"Invalid Shares","Invalid Shares"
"Show all payments","Show all payments"
"No payments yet","No payments yet"
"Pool address","Pool address"
"Select pool address","Select pool address"
"Add New Pool","Add New Pool"
"Enter email","Enter email"
"Select Pool Server","Select Pool Server"
"Selected Pool Servers","Selected Pool Servers"
"on","on"
"rights","rights"
"Workers","Workers"
"Balance","Balance"
"Shared with me","Shared with me"
"Timezone","Timezone"
"Create New Farm","Create New Farm"
"Select timezone","Select timezone"
"Input farm name","Enter a farm name"
"Mem State","Mem State"
"Core Voltage","Core Voltage"
"Core State","Core State"
"RadeonCardFrom.fanSpeed2","in claymore config override."
"RadeonCardFrom.fanSpeed1","You can set the fan speed, but the miner (claymore) will still control it. For this to work, disable fan control in miner config. Enter"
"RadeonCardFrom.memState.text3","This parameter should be used with the 'Mem Clock' setting."
"RadeonCardFrom.memState.text2","RX cards are known to have 1 or 2 memory states (3 if including 0 idle state). The highest state will be selected by default. In some rare cases, cards may fail to undervolt on the highest state thus requiring to select a lower one. For example, the highest is 2, thus if undervolting you would want to set state 1."
"RadeonCardFrom.memState.text1","This is a very advanced parameter. Try this if there are problems with undervolting. If it works — don't change this."
"RadeonCardFrom.coreVddc.text5","from VBIOS table."
"RadeonCardFrom.coreVddc.text4","meaning mV or values like"
"RadeonCardFrom.coreVddc.text3","You can set values like"
"RadeonCardFrom.coreVddc.text2","state will be used to set the voltage."
"RadeonCardFrom.coreVddc.text1","This is required when undervolting. 'Core State' MUST be set or the default"
"RadeonCardFrom.coreState.text4.","Lower the value to downvolt."
"Default is","Default is"
"RadeonCardFrom.coreState.text2","DPM (Dynamic Power Management)"
"RadeonCardFrom.coreState.text1","This is required when undervolting. You should use this parameter with 'Core Clock' and 'Core Voltage'."
"RadeonCardFrom.coreClock.text2","If 'Core State' is unset, then the default"
"RadeonCardFrom.coreClock.text1","Set core clock here, a good value would be around"
"RadeonCardFrom.coreClock.text3","state will be used to set the clock."
"Refill","Refill"
"balance","balance"
"per month","per month"
"Recommended payment is","Recommended payment is"
"From balance","From balance"
"With Coinpayment","With Coinpayments"
"Console","Console"
"Execute command","Execute command"
"Wrong command","Wrong command"
"Remove all messages?","Remove all messages?"
"EDIT","EDIT"
"Overview","Overview"
"Cards","Cards"
"CONSOLE","CONSOLE"
"Offline","Offline"
"Booted","Booted"
"Uptime","Uptime"
"TRANSFER","TRANSFER"
"Monitoring","Monitoring"
"Reboot","Reboot"
"Miner Config","Miner Config"
"Rocket","Rocket"
"Upgrade","Upgrade"
"Shutdown","Shutdown"
"OpenVPN configuration","OpenVPN Configuration"
"Power actions","Power Actions"
"Server URL","Server URL"
"Edit tags","Edit Tags"
"Miner actions","Miner Actions"
"Teleconsole Start","Teleconsole Start"
"Teleconsole Stop","Teleconsole Stop"
"Teleconsole Restart","Teleconsole Restart"
"Hashrate watchdog","Hashrate Watchdog"
"Run command","Run Command"
"Miner Log","Miner Log"
"Stop Miner","Stop Miner"
"Restart Miner","Restart Miner"
"Remote access","Remote Access"
"more messages","more messages"
"Add","Add"
"Password","Password"
"Description","Description"
"Add New Worker","Add New Worker"
"RigForm.EnterWorkerName","Enter worker name"
"RigForm.EnterWorkerPassword","Enter worker password"
"RigForm.EnterWorkerDescription","Enter worker description"
"rejected","rejected"
"shared","shared"
"Upgrade to","Upgrade to"
"New features","New features"
"New version","New version"
"Current version","Current version"
"SaveOCModal","Save OC Modal"
"Enter Name","Enter Name"
"SaveOverclockingAsTemplate.Name","Overclocking Template Name"
"SaveOverclockingAsTemplate.Title","Save Overclocking as Template"
"Set","Set"
"Default","Default"
"Choose URL","Choose URL"
"ServerUrlFrom.Help3","Warning! Always prepare physical or network access (SSH) to the worker before changing this setting. If the worker is unable to connect to selected URL, it will become Offline in {os}. Mirror URL is saved in /hive-config/rig.conf where you can edit it manually."
"ServerUrlFrom.Help2","If you leave it as 'Default' then {os} can decide where to connect. Usually it will be the first in the list."
"ServerUrlFrom.Help1","If you have problems connecting to {os} server from your worker and have often false Offline/Online events, then try choosing a different server connection URL. Sometimes there are firewall problems (your own or ISP) and switching ports may help."
"Mirror Select","Mirror Select"
"Stats","Stats"
"gpu","gpu"
"for 24 hours","for 24 hours"
"View all","View all"
"day","day"
"Day left","Day left"
"Days left","Days left"
"New Tag Name","New Tag Name"
"Add Tag","Add Tag"
"Add tag","Add tag"
"Explore transaction","Explore transaction"
"Referrals.TransactionsNotFound","No transactions yet"
"Upload VBIOS","Upload VBIOS"
"VBIOS ROM file","VBIOS ROM file"
"UploadingBiosFromLabel","Force flashing ignoring security checking"
"Upload","Upload"
"VPN.ClientConf","client.conf ( upload only the file with embeded certs)"
"Login (auth-user-pass)","Login (auth-user-pass)"
"Password (auth-user-pass)","Password (auth-user-pass)"
"Address","Address"
"Enter wallet address","Enter wallet address or pool login (depends on pool you use)"
"Enter wallet name","Enter wallet name"
"Accepted shares ratio","Accepted shares ratio"
"Invalid shares","Invalid shares"
"High Temperature","High Temperature"
"Low hashrate","Low hashrate"
"cores","cores"
"Hive OS Version:","{os} Version:"
"Power:","Power:"
"Free disk space:","Free disk space:"
"Restart","Restart"
"Stop","Stop"
"Shut Down","Shutdown"
"Overclocking templates","Overclocking templates"
"WorkerActions.Upgrade","Do you want to upgrade workers to the latest OS verion?"
"WorkerMiner.Tooltip","Accepted Rejected Invalid, Accepted Ratio"
"NoStatsFoundSoFar","No stats found so far"
"Delete","Delete"
"You can","You can"
"create one","create one"
"FarmsAccess.NoUsersFound","No users found so far."
"Owner","Owner"
"Access Levels","Access Levels"
"User name","User name"
"UserEditForm.GrantAccessProject","Grant access to project"
"Grant access","Grant access"
"Access Levels...","Access Levels..."
"User login","User login"
"ProjectAccess.TrustUserDescription","You can give control access to your farm to other users, for example, you could give Full Access privileges to your admins in order for them to manage everything in your stead. Or you can give the read-only Monitor access privileges to your technical staff that do simple maintenance and monitoring and nothing more."
"Profile","Profile"
"Telegram","Telegram"
"here","here"
"Bio","Bio"
"Update Info","Update Info"
"Company Info","Company Info"
"Skype","Skype"
"Phone","Phone"
"API docs are","API docs are"
"Account.SetupTFAuth","Setup Two-factor Authentication"
"Account.TFAuth","Two-factor Authentication"
"Update Password","Update Password"
"Confirm New Password","Confirm New Password"
"Account.PasswordError","Password must be 8 or more characters."
"New Password","New Password"
"Current Password","Current Password"
"Full Name","Full Name"
"Account.ProfileSettings.Header","Account Profile Settings"
"Language","Language"
"Account.BIODescription1","Additional information about you."
"Account.BIODescription2","This is optional."
"Account.AuthenticationDecstiption","Enable to give your {os} account an extra layer of security."
"Account.PasswordDescription","Changing your password will also reset your API key."
"Account.ProfileDescription","Your login is your identity on {os} and is used to sign in."
"6 digits code","6 digits code"
"Enable 2FA","Enable 2FA"
"Turn off 2FA","Dissable 2FA"
"Account.AuthenticationTokenButton","Generate new Personal API-token"
"Authentication Tokens","Authentication Tokens"
"Account.AuthenticationToken","You can manage your personal API tokens. Generate a new one for your third party application. Or remove a suspicious session"
"Personal Tokens","Personal Tokens"
"Session Tokens","Session Tokens"
"Authy","Authy"
"Account.AuthenticationTwoFactor3","which can be installed on multiple devices including Desktop."
"Account.AuthenticationTwoFactor4","Scan the QR code with your camera and enter the code below."
"Farm Activity Feed","Farm Activity Feed"
"Pay","Pay"
"Payments","Payments"
"Amount to refill, $","Amount to refill, $"
"Your Current Balance","Your Current Balance"
"Payments History","Payments History"
"Farms Balance","Farms Balance"
"Free","Free"
"Invoice","Invoice"
"days left","days left"
"Disable Paid Features","Disable Paid Features"
"Enable Paid Features","Enable Paid Features"
"Log in","Log in"
"Return to","Return to"
"Reset password","Reset password"
"Type email to recover password","Enter email to recover password"
"Error.Text","Sorry, a critical error occurred on this page."
"Just one step!","Just one step!"
"create wallet","create wallet"
"first!","first!"
"Farm.FarmsFs.Description","To manage Flight Sheets you need"
"FarmOC.EmptyMessage","No Overclocking Templates found. You can"
"Add OC Template","Add OC Template"
"Incoming farms","Incoming farms"
"Log in your account","Log into your account"
"2FA code (if enabled)","2FA code (if enabled)"
"Remember me","Remember me"
"Forgot password?","Forgot password?"
"Register","Register"
"Don't have account yet?","Don't have an account yet?"
"Referral Link","Referral Link"
"Referral.ReferralLink1","Share this link with others. They will be marked as your referrals after registering via your link. After they register you get"
"Your referral","Your referral"
"Copy to Clipboard","Copy to Clipboard"
"Promo Code","Promo Code"
"Referral.PromoCodeDescription1","Sometimes you can't share your link with people. Here you can generate your unique promocode. For example, 'MIKESHIVE' or 'SAVEBUCKSFORLAMBO'. If you are a seller, service shop or any other offline business this may work for you. To motivate clients to register with your code {os} will deposit"
"Referral.PromoCodeDescription2","to their account as soon as they do."
"ETH Wallet Address","ETH Wallet Address"
"Referral Balance","Referral Balance"
"Deposit to Hive","Deposit to {os}"
"ReferralTransactionsHistory","Referral transactions history"
"Referral.BalanceDescription2","Specify your ETH wallet address for automatic payouts at the beginning of each month."
"Referral.BalanceDescription1","miners joined by your invitation."
"Referral.BalanceDescription3","Referral withdrawal are done once a month. You will be payed if you've entered an address here."
"Referral.BalanceDescription4","Minimum payout is $25."
"Referral.BalanceDescription5",""
"Referral.PromoCodeYoungAccount","Your account is too young to use promocodes."
"Referral.BalanceDescription","You don't have any referral rewards yet."
"Passwords do not match","Passwords do not match"
"Create new account","Create new account"
"Confirm password","Confirm password"
"Register.CheckboxLabelText","By clicking Register you agree with"
"Terms","Terms"
"Register.HaveAccount","Have an account already?"
"RestorePassword.Message","Password successfully sent, please check your email"
"Remove all","Remove all"
"Id","ID"
"Activity Feed","Activity Feed"
"Build Log","Build Log"
"Other","Other"
"Flight Sheet","Flight Sheet"
"Flight Sheets","Flight Sheets"
"FlightSheets.Message","To start mining please select a Flight Sheet first!"
"StartConfOverclocking","Start Configuring Overclocking"
"Flash VBIOS","Flash VBIOS"
"OverclocingSettingsFoundSoFar","No Overclocking Settings found."
"Load From Template","Load From Template"
"Save As Template","Save As Template"
"Reset All","Reset All"
"Configure New Algo","Configure New Algorithm"
"Transfer","Transfer"
"Advanced Settings","Advanced Settings"
"Confirmation required","Confirmation required"
"Settings.RemoveProject2","A removed project CANNOT be restored! Are you ABSOLUTELY sure?"
"Settings.RemoveProject3","This action can lead to data loss. To prevent accidental actions, please, confirm your intentions"
"Please type","Please type"
"Settings.RemoveProject4","to proceed or close this modal to cancel."
"Settings.RemoveProject1","You are going to remove a worker"
"Remove Worker","Remove Worker"
"Settings.RemovedWorker","Removed Worker cannot be restored!"
"Update Worker","Update Worker"
"Worker Name","Worker Name"
"Worker Settings","Worker Settings"
"OpenVPN Config","OpenVPN Config"
"Are you sure?","Are you sure?"
"Worker Password","Worker Password"
"Settings.ChangePass1","If you change the password only in database and there is an active worker using it, then that worker will go offline."
"Settings.ChangePass2","Change password in database and attempt changing it on worker. Will attempt to change password on an online worker. Password will be changed only after notification from the worker."
"Settings.ChangePass3","Change password in database only. The worker with current password will go offline."
"Transfer Worker","Transfer Worker"
"Settings.WalletTransferFarm","Move worker to another farm"
"Settings.RemoveProject5","Do you want to remove worker?"
"Settings.WalletTransfer","Wallet is not transferred with worker. Please apply a wallet from another farm after this transfer is done."
"Settings.ConfirmTransferWorker","Do you want to transfer worker?"
"Select farm","Select farm"
"Settings.TransferWorker","Flight sheet is not copied with the worker. Please apply flight sheet in a new farm after the movement is done."
"Transfer Worker?","Transfer Worker?"
"Tuning","Tuning"
"Worker","Worker"
"Online","Online"
"With Errors","With Errors"
"Hide filters","Hide filters"
"Show filters","Show filters"
"with","with"
"Name changed","Name changed"
"Farm settings","Farm settings"
"Settings.MargeProject","You can only merge the project with others you manage."
"Merge Project","Merge Project"
"Transfer Project","Transfer Project"
"Type project name","Type project name"
"Select user login","Select user login"
"Remove Project","Remove Project"
"Farm.Setting.Text1","You are going to remove a farm"
"Type Project Name","Type Project Name"
"You are going to merge farm","You are going to merge a farm"
"Merged project CANNOT be restored!","Merged projects CANNOT be restored!"
"Are you ABSOLUTELY sure?","Are you ABSOLUTELY sure?"
"Save Changes","Save Changes"
"Timezone changed","Timezone changed"
"Farm changed","Farm changed"
"Farm.Settings.TagsDescription","Add your custom tags to mark the workers"
"Farm.Settings.RemoveDescription1","Removing the project will delete its repository and all related resources including issues, merge requests etc."
"Farm.Settings.RemoveDescription2","Removed projects cannot be restored!"
"Farm Title","Farm Title"
"Remove Farm","Remove Farm"
"Question.ChangeFarmOwner","Change farm owner?"
"ChangeOwnership","to change ownership to"
