"link","посилання"
"An error has occurred. Please, try again later","Виникла помилка. Спробуйте пізніше"
"Action.FlightSheetRemoved","Польотний лист успішно видалено"
"Action.FlightSheetCreated","Польотний лист успішно створено"
"Command sent","Команда відправлена"
"Action.TransferFarm","Запит на зміну власника був відправлений"
"Settings updated","Налаштування оновлені"
"Tag added","Тег додано"
"Tag edited","Тег відредаговано"
"Tag removed","Тег видалено"
"Wallet added","Гаманець додано"
"Wallet edited","Гаманець відредаговано"
"Wallet removed","Гаманець видалено"
"Collaborator added","Довірений користувач доданий"
"Collaborator removed","Довірений користувач видалений"
"Collaborator edited","Довірений користувач відредагований"
"Action.LeftFarm","Ви залишили ферму"
"Action.UpdateFs","Польотний лист успішно оновлено. Для воркерів, які зараз 'не в мережі', для вступу змін в силу необхідне перезавантаження"
"Action.AddOC","Шаблон розгону успішно створений"
"Action.RefillFarm","Баланс ферми поповнено"
"Action.ErrorServerRequest","Виникла помилка. Спробуйте пізніше"
"Error","Помилка"
"Action.SendPromocode","Ваша підписка оформлена успішно"
"Action.PatchToken","Токен успішно поновлено"
"Action.AddToken","Токен успішно створено"
"Action.DeleteToken","Токен успішно анульовано"
"Promocode successfully sended","Промокод успішно відправлено"
"Action.UpdatePayoutAddresses","Адресу успішно змінено"
"Action.PayoutToAccount","Ваш баланс успішно поповнено"
"Action.SetPassword","Пароль успішно оновлено"
"2FA enabled","2FA дозволено"
"2FA removed","2FA видалено"
"NVIDIA","NVIDIA"
"Apply","Застосувати"
"Confirm","Підтвердити"
"TelegramSubscribe","Введіть ID Telegram для того, щоб підписатися"
"Enter code to confirm","Введіть код для підтвердження"
"Subscribe","Підписатися"
"Remove","Видалити"
"Are you shure?","Ви впевнені?"
"Edit","Редагувати"
"temp","темп-ра"
"Farms","Ферми"
"workers","воркери"
"ethash","ethash"
"CriticalIssues",""
"Off","Вимкн."
"30 seconds","30 секунд"
"1 minute","1 хвилина"
"2 minutes","2 хвилини"
"5 minutes","5 хвилин"
"AutoRefresh","Таймер авто-оновлення сторінки"
"All","Все"
"Cancel","Відміна"
"Download VBIOS","Скачати VBIOS"
"GPU index","GPU індекс"
"NotGPUDifferent","Примітка: GPU індекс в майнері може відрізнятися від порядку розташування на PCI шині"
"Download","Скачати"
"Apply Changes","Застосувати зміни"
"WalletWorkTemplate","Гаманець і воркер шаблону:"
"Pass:","Пароль"
"Extra config arguments:","Додаткові параметри конфігурації"
"Pool URL:","Адреса пула"
"Miner Fork:","Форк майнера:"
"Hash algorithm:","Хеш алгоритм:"
"Extra params for pool:","Додаткові параметри для пулу:"
"Extra arguments for miner:","Додаткові аргументи для майнера:"
"Version:","Версія:"
"Template examples:","Приклади шаблонів:"
"for most of the pools","для більшості пулів"
"Intensity, -dcri 0...100","Інтенсивність, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","epools.txt шаблон:"
"dpools.txt template:","dpools.txt шаблон:"
"Claymore config override:","Перевизначення конфігурації Claymore:"
"Example for nanopool:","Приклад для nanopool:"
"Example for nicehash:","Приклад для nicehash:"
"Second coin algo","Алгоритм другої монети"
"Config override:","Перевизначення конфігурації:"
"Pool server:","Сервер пулу:"
"Port:","Порт:"
"index","індекс"
"AMD config override:","AMD перевизначення конфігурації"
"Nvidia config override:","NVidia перевизначення конфігурації"
"CPU config override:","CPU перевизначення конфігурації:"
"Errors","Помилки"
"last 24 hours","за останні 24 години"
"Workers with errors","Воркери з помилками"
"No errors found","Помилок не виявлено"
"Show","Показати"
"Overclocking","Розгін"
"Coins","Монети"
"Pools","Пули"
"Miners","Майнери"
"Select pools","Обрати пули"
"Select miners","Обрати майнери"
"Select coin","Обрати монету"
"Select overclocking","Обрати розгін"
"by","від"
"View payload","Детальніше"
"Add Wallet","Додати гаманець"
"Red Temperature","Макс. температура"
"Trust user","Довірений користувач"
"Add Worker","Додати воркера"
"FarmNavCleanWorkers","Видалити повідомлення від усіх воркерів"
"Save","Зберегти"
"FarmTempHeader.ASICCriticalTemperature","ASIC критична температура"
"Ask a question","Поставити питання"
"Report an issue","Повідомити про проблему"
"Tags","Теги"
"Wallets","Гаманці"
"Platform","Платформа"
"Run","Пуск"
"Wallet","Гаманець"
"Coin","Монета"
"Pool","Пул"
"Miner","Майнер"
"Select pool","Вибрати пул"
"Select miner","Вибрати майнер"
"Select wallet","Вибрати гаманець"
"Configure Pool","Налаштувати пул"
"Setup Miner Config","Настроить"
"Dual Coin","Дуал монета"
"Dual Wallet","Дуал гаманець"
"Dual Pool","Пул для дуала"
"Configure in miner","Налаштувати майнер"
"Update","Оновити"
